Kode Wilayah,Nama Wilayah,Curah Hujan (mm)
11,Aceh,"2293,40"
12,Sumatera Utara,"2543,40"
13,Sumatera Barat,"5332,30"
14,Riau,"3111,70"
15,Jambi,"3218,40"
16,Sumatera Selatan,"2598,20"
17,Bengkulu,"3658,10"
18,Lampung,"2110,5"
19,Kepulauan Bangka Belitung,"3012,9"
21,Kepulauan Riau,"2660,50"
31,DKI Jakarta,"2394,60"
32,Jawa Barat,"3786,60"
33,Jawa Tengah,"2476,80"
34,DI Yogyakarta,"2456,70"
35,Jawa Timur,"2447,80"
36,Banten,"2977,80"
51,Bali,"2642,40"
52,Nusa Tenggara Barat,"2199,60"
53,Nusa Tenggara Timur,"2050,20"
61,Kalimantan Barat,"2918,20"
62,Kalimantan Tengah,"2908,20"
63,Kalimantan Selatan,"3581,10"
64,Kalimantan Timur,"3073,70"
65,Kalimantan Utara,"2878,70"
71,Sulawesi Utara,"4596,10"
72,Sulawesi Tengah,"1000,80"
73,Sulawesi Selatan,"4234,00"
74,Sulawesi Tenggara,"2274,60"
75,Gorontalo,"2285,50"
76,Sulawesi Barat,"2270,80"
81,Maluku,"5307,40"
82,Maluku Utara,"3080,30"
91,Papua,"3811,90"
92,Papua Barat,"2028,30"
